variable,coeficiente,magnitud
chain_26,0.14353055300308462,0.14353055300308462
chain_infrequent_sklearn,-0.14294051602671848,0.14294051602671848
market_34,0.1427266652993811,0.1427266652993811
chain_153,0.1322697703014105,0.1322697703014105
chain_187,-0.13167087822438422,0.13167087822438422
market_47,-0.13167087822438422,0.13167087822438422
market_37,0.12416023831610581,0.12416023831610581
chain_151,0.12299565524028577,0.12299565524028577
chain_431,0.12296046344585936,0.12296046344585936
chain_191,0.12241468582348555,0.12241468582348555
chain_192,-0.1222552750368069,0.1222552750368069
company_104460040,-0.1220997529473399,0.1220997529473399
chain_133,0.12184545674777975,0.12184545674777975
market_10,0.12077619279682109,0.12077619279682109
chain_214,0.11763140910956253,0.11763140910956253
chain_46,0.11522156468680243,0.11522156468680243
n_compras_compania_180d,0.11502437691590461,0.11502437691590461
chain_384,0.11326207382554845,0.11326207382554845
company_104610040,-0.11314792114742557,0.11314792114742557
brand_15889,-0.11314792114742557,0.11314792114742557
category_5616,-0.11314792114742557,0.11314792114742557
market_7,0.11064903082166425,0.11064903082166425
market_15,-0.10934824325537522,0.10934824325537522
chain_116,-0.10786159543694117,0.10786159543694117
chain_89,0.1073089096487922,0.1073089096487922
chain_152,-0.10415636064768766,0.10415636064768766
visitas_por_30d,-0.10403846208677323,0.10403846208677323
market_17,-0.10375319519471526,0.10375319519471526
market_20,0.10216507906986297,0.10216507906986297
market_35,0.09765456833368683,0.09765456833368683
gasto_total,0.09621198089656118,0.09621198089656118
chain_206,0.09066048233756098,0.09066048233756098
chain_65,0.09007755163807514,0.09007755163807514
market_26,0.09007755163807514,0.09007755163807514
chain_31,-0.08651946203960605,0.08651946203960605
nunca_compro_marca,-0.08588682428407261,0.08588682428407261
gasto_por_30d,-0.08523291234876358,0.08523291234876358
chain_12,0.08248865948552545,0.08248865948552545
gasto_categoria,0.08242708442213374,0.08242708442213374
market_27,0.08235447063490364,0.08235447063490364
chain_96,0.08235447063490364,0.08235447063490364
n_compras_marca_180d,0.08233080511138872,0.08233080511138872
n_compras_compania,-0.08193312669233235,0.08193312669233235
chain_211,0.08156662545152327,0.08156662545152327
market_24,0.08156662545152327,0.08156662545152327
chain_106,-0.08142912238303932,0.08142912238303932
chain_70,0.07898770688974861,0.07898770688974861
chain_215,0.07704788859166697,0.07704788859166697
company_107717272,-0.07679490180852311,0.07679490180852311
category_5619,-0.07679490180852311,0.07679490180852311
brand_102504,-0.07679490180852311,0.07679490180852311
chain_21,-0.07503836932641669,0.07503836932641669
chain_95,-0.07399670287307096,0.07399670287307096
chain_360,-0.07228308937293706,0.07228308937293706
chain_69,-0.06824781226665573,0.06824781226665573
chain_42,-0.06762235981288932,0.06762235981288932
nunca_compro_producto,0.06704391827939454,0.06704391827939454
market_43,0.06263924044951605,0.06263924044951605
n_descuentos,-0.06204575305445024,0.06204575305445024
proporcion_compras_marca,0.05834059642674062,0.05834059642674062
dias_ultima_compra,-0.05773719836262469,0.05773719836262469
market_16,0.05750942402344278,0.05750942402344278
market_5,-0.05729042304814636,0.05729042304814636
n_visitas,0.05699325761594537,0.05699325761594537
proporcion_compras_categoria,0.05598940478294236,0.05598940478294236
brand_28840,0.055776283743937366,0.055776283743937366
company_1089520383,0.055776283743937366,0.055776283743937366
category_5558,-0.05439182696148392,0.05439182696148392
brand_5072,-0.05439182696148392,0.05439182696148392
company_107120272,-0.05439182696148392,0.05439182696148392
chain_126,-0.05313256096735347,0.05313256096735347
chain_58,-0.050522868718261414,0.050522868718261414
recencia_categoria_relativa,-0.0504501533304468,0.0504501533304468
chain_108,-0.04939950417323745,0.04939950417323745
market_39,0.048417982950268626,0.048417982950268626
chain_17,-0.04250194794673573,0.04250194794673573
n_compras_marca_30d,0.0416635054408018,0.0416635054408018
n_compras_marca_90d,0.03909177405504443,0.03909177405504443
market_4,0.03866313655869656,0.03866313655869656
brand_6926,0.03662895175499532,0.03662895175499532
category_2119,0.03662895175499532,0.03662895175499532
company_108079383,0.03662895175499532,0.03662895175499532
market_23,-0.0341858571482119,0.0341858571482119
chain_40,-0.0341858571482119,0.0341858571482119
chain_98,0.0335922590133393,0.0335922590133393
chain_6,-0.03121811378136886,0.03121811378136886
gasto_compania,0.029959323749051775,0.029959323749051775
n_compras_compania_30d,0.02976374939537288,0.02976374939537288
n_devoluciones,0.02968509953424254,0.02968509953424254
chain_20,0.02816037133595311,0.02816037133595311
n_compras_marca_60d,0.027915143106323467,0.027915143106323467
chain_140,0.027265320555002557,0.027265320555002557
market_45,0.027265320555002557,0.027265320555002557
market_21,0.026812483168093648,0.026812483168093648
market_22,-0.026125081012430017,0.026125081012430017
brand_13474,-0.024966355237995355,0.024966355237995355
company_106414464,-0.024966355237995355,0.024966355237995355
category_3203,-0.024966355237995355,0.024966355237995355
chain_109,-0.024570500882303697,0.024570500882303697
n_compras_categoria_90d,-0.023020528282196164,0.023020528282196164
chain_14,0.022890641117924295,0.022890641117924295
n_compras_categoria_30d,0.022658629254335916,0.022658629254335916
n_compras_categoria_180d,0.02234828953757731,0.02234828953757731
n_compras_compania_90d,-0.019776223675558233,0.019776223675558233
chain_165,0.017515638373567677,0.017515638373567677
proporcion_categoria_30_en_180d,-0.01639129565500634,0.01639129565500634
nunca_compro_categoria,-0.015626539554820247,0.015626539554820247
missingindicator_dias_ultima_compra_categoria,-0.015626539554820247,0.015626539554820247
missingindicator_recencia_categoria_relativa,-0.015626539554820247,0.015626539554820247
chain_16,0.015147793265154353,0.015147793265154353
volumen_extremo,-0.01427178470107346,0.01427178470107346
chain_10,-0.010463141957866883,0.010463141957866883
proporcion_compras_producto,-0.01045688214091857,0.01045688214091857
dias_ultima_compra_categoria,0.009289009575019998,0.009289009575019998
chain_62,-0.00840564920127057,0.00840564920127057
n_compras_compania_60d,0.0069944017554611805,0.0069944017554611805
market_12,0.006225729192598507,0.006225729192598507
nunca_compro_compania,0.003916928836092839,0.003916928836092839
chain_424,0.002859012741053298,0.002859012741053298
n_compras_categoria,0.0011900061875430633,0.0011900061875430633
missingindicator_proporcion_categoria_30_en_180d,0.0007130911237216169,0.0007130911237216169
n_compras_categoria_60d,-0.0005300391234237191,0.0005300391234237191
quantity,0.0,0.0
